origin_code,destination_code,airline_code,flight_number,cabin_class,price,currency,departure_date,days_until_dep,day_of_week,month,week_of_year,is_holiday,is_weekend,seats_available,recorded_at,is_live
GAU,IDR,I5,HIST-000,Economy,14170,INR,2024-02-25,14,6,2,8,False,True,50,2024-02-11 00:00:00,False
AMD,VNS,S5,HIST-000,Economy,9165,INR,2024-04-11,14,3,4,15,False,False,50,2024-03-28 00:00:00,False
RPR,BOM,SG,HIST-000,Economy,9474,INR,2023-06-22,14,3,6,25,False,False,50,2023-06-08 00:00:00,False
CCU,BBI,SG,HIST-000,Economy,5106,INR,2025-03-25,14,1,3,13,False,False,50,2025-03-11 00:00:00,False
IDR,STV,G8,HIST-000,Economy,9730,INR,2025-10-15,14,2,10,42,False,False,50,2025-10-01 00:00:00,False
LKO,GAU,AI,HIST-000,Economy,7770,INR,2023-05-03,14,2,5,18,False,False,50,2023-04-19 00:00:00,False
BLR,CCU,G8,HIST-000,Economy,3000,INR,2025-12-01,14,0,12,49,False,False,50,2025-11-17 00:00:00,False
GAU,IDR,S5,HIST-000,Economy,7067,INR,2023-08-06,14,6,8,31,False,True,50,2023-07-23 00:00:00,False
RPR,GAU,G8,HIST-000,Economy,17272,INR,2024-06-02,14,6,6,22,False,True,50,2024-05-19 00:00:00,False
GAU,VNS,QP,HIST-000,Economy,7522,INR,2023-04-18,14,1,4,16,False,False,50,2023-04-04 00:00:00,False
BOM,RPR,AI,HIST-000,Economy,6893,INR,2023-04-22,14,5,4,16,False,True,50,2023-04-08 00:00:00,False
NAG,MAA,2T,HIST-000,Economy,9673,INR,2023-08-27,14,6,8,34,False,True,50,2023-08-13 00:00:00,False
GAU,DEL,SG,HIST-000,Economy,11405,INR,2024-12-27,14,4,12,52,False,False,50,2024-12-13 00:00:00,False
IDR,JAI,2T,HIST-000,Economy,4502,INR,2024-12-20,14,4,12,51,False,False,50,2024-12-06 00:00:00,False
PAT,JAI,QP,HIST-000,Economy,11359,INR,2024-01-21,14,6,1,3,False,True,50,2024-01-07 00:00:00,False
HYD,PNQ,AI,HIST-000,Economy,9103,INR,2025-03-19,14,2,3,12,False,False,50,2025-03-05 00:00:00,False
BBI,GOI,6E,HIST-000,Economy,8269,INR,2024-02-09,14,4,2,6,False,False,50,2024-01-26 00:00:00,False
PAT,JAI,SG,HIST-000,Economy,10606,INR,2024-06-03,14,0,6,23,False,False,50,2024-05-20 00:00:00,False
HYD,LKO,SG,HIST-000,Economy,10879,INR,2023-05-13,14,5,5,19,False,True,50,2023-04-29 00:00:00,False
VNS,BBI,2T,HIST-000,Economy,4894,INR,2024-02-13,14,1,2,7,False,False,50,2024-01-30 00:00:00,False
DEL,JAI,9I,HIST-000,Economy,15374,INR,2024-02-04,14,6,2,5,False,True,50,2024-01-21 00:00:00,False
NAG,CCU,G8,HIST-000,Economy,9614,INR,2024-08-02,14,4,8,31,False,False,50,2024-07-19 00:00:00,False
PAT,COK,G8,HIST-000,Economy,10305,INR,2024-12-01,14,6,12,48,False,True,50,2024-11-17 00:00:00,False
BOM,NAG,QP,HIST-000,Economy,12317,INR,2023-08-16,14,2,8,33,False,False,50,2023-08-02 00:00:00,False
COK,MAA,G8,HIST-000,Economy,6334,INR,2025-05-15,14,3,5,20,False,False,50,2025-05-01 00:00:00,False
RPR,PNQ,QP,HIST-000,Economy,12174,INR,2025-07-21,14,0,7,30,False,False,50,2025-07-07 00:00:00,False
NAG,IDR,SG,HIST-000,Economy,5472,INR,2025-01-04,14,5,1,1,False,True,50,2024-12-21 00:00:00,False
PNQ,RPR,6E,HIST-000,Economy,13996,INR,2024-04-10,14,2,4,15,False,False,50,2024-03-27 00:00:00,False
AMD,HYD,I5,HIST-000,Economy,10713,INR,2025-07-18,14,4,7,29,False,False,50,2025-07-04 00:00:00,False
MAA,AMD,UK,HIST-000,Economy,9626,INR,2025-01-06,14,0,1,2,False,False,50,2024-12-23 00:00:00,False
COK,DEL,QP,HIST-000,Economy,8681,INR,2024-03-07,14,3,3,10,False,False,50,2024-02-22 00:00:00,False
AMD,VNS,S5,HIST-000,Economy,11894,INR,2025-12-18,14,3,12,51,False,False,50,2025-12-04 00:00:00,False
HYD,BLR,AI,HIST-000,Economy,12153,INR,2023-04-13,14,3,4,15,False,False,50,2023-03-30 00:00:00,False
STV,GOI,AI,HIST-000,Economy,8112,INR,2024-01-20,14,5,1,3,False,True,50,2024-01-06 00:00:00,False
BOM,LKO,SG,HIST-000,Economy,9006,INR,2024-11-12,14,1,11,46,False,False,50,2024-10-29 00:00:00,False
VNS,AMD,G8,HIST-000,Economy,9254,INR,2024-10-07,14,0,10,41,False,False,50,2024-09-23 00:00:00,False
BOM,RPR,SG,HIST-000,Economy,8439,INR,2025-04-16,14,2,4,16,False,False,50,2025-04-02 00:00:00,False
COK,LKO,UK,HIST-000,Economy,7469,INR,2025-12-18,14,3,12,51,False,False,50,2025-12-04 00:00:00,False
PAT,BOM,SG,HIST-000,Economy,7874,INR,2023-10-16,14,0,10,42,False,False,50,2023-10-02 00:00:00,False
GAU,NAG,9I,HIST-000,Economy,14186,INR,2023-09-28,14,3,9,39,False,False,50,2023-09-14 00:00:00,False
BBI,PAT,I5,HIST-000,Economy,13644,INR,2024-03-17,14,6,3,11,False,True,50,2024-03-03 00:00:00,False
JAI,RPR,G8,HIST-000,Economy,13559,INR,2025-01-04,14,5,1,1,False,True,50,2024-12-21 00:00:00,False
BBI,GAU,SG,HIST-000,Economy,13107,INR,2023-02-01,14,2,2,5,False,False,50,2023-01-18 00:00:00,False
BBI,GOI,9I,HIST-000,Economy,4178,INR,2023-12-14,14,3,12,50,False,False,50,2023-11-30 00:00:00,False
STV,CCU,S5,HIST-000,Economy,11075,INR,2023-06-24,14,5,6,25,False,True,50,2023-06-10 00:00:00,False
STV,MAA,SG,HIST-000,Economy,15534,INR,2025-02-13,14,3,2,7,False,False,50,2025-01-30 00:00:00,False
PAT,BBI,QP,HIST-000,Economy,9708,INR,2023-01-27,14,4,1,4,False,False,50,2023-01-13 00:00:00,False
MAA,DEL,S5,HIST-000,Economy,12598,INR,2024-05-18,14,5,5,20,False,True,50,2024-05-04 00:00:00,False
BLR,VNS,I5,HIST-000,Economy,8748,INR,2023-10-09,14,0,10,41,False,False,50,2023-09-25 00:00:00,False
PAT,IDR,9I,HIST-000,Economy,3020,INR,2025-08-04,14,0,8,32,False,False,50,2025-07-21 00:00:00,False
PNQ,BBI,UK,HIST-000,Economy,12681,INR,2023-10-06,14,4,10,40,False,False,50,2023-09-22 00:00:00,False
NAG,PNQ,G8,HIST-000,Economy,10031,INR,2025-01-17,14,4,1,3,False,False,50,2025-01-03 00:00:00,False
BBI,NAG,G8,HIST-000,Economy,5737,INR,2023-10-13,14,4,10,41,False,False,50,2023-09-29 00:00:00,False
VNS,DEL,UK,HIST-000,Economy,14452,INR,2023-05-23,14,1,5,21,False,False,50,2023-05-09 00:00:00,False
BBI,LKO,UK,HIST-000,Economy,8816,INR,2024-01-27,14,5,1,4,False,True,50,2024-01-13 00:00:00,False
MAA,RPR,AI,HIST-000,Economy,7725,INR,2025-06-12,14,3,6,24,False,False,50,2025-05-29 00:00:00,False
NAG,PAT,S5,HIST-000,Economy,7149,INR,2024-05-19,14,6,5,20,False,True,50,2024-05-05 00:00:00,False
STV,IDR,I5,HIST-000,Economy,7620,INR,2023-07-22,14,5,7,29,False,True,50,2023-07-08 00:00:00,False
JAI,HYD,2T,HIST-000,Economy,15172,INR,2024-05-13,14,0,5,20,False,False,50,2024-04-29 00:00:00,False
AMD,NAG,9I,HIST-000,Economy,11519,INR,2024-11-05,14,1,11,45,False,False,50,2024-10-22 00:00:00,False
AMD,HYD,2T,HIST-000,Economy,12554,INR,2025-02-05,14,2,2,6,False,False,50,2025-01-22 00:00:00,False
JAI,VNS,2T,HIST-000,Economy,16028,INR,2025-05-09,14,4,5,19,False,False,50,2025-04-25 00:00:00,False
PAT,MAA,2T,HIST-000,Economy,9640,INR,2025-08-15,14,4,8,33,False,False,50,2025-08-01 00:00:00,False
STV,RPR,S5,HIST-000,Economy,3565,INR,2023-01-27,14,4,1,4,False,False,50,2023-01-13 00:00:00,False
GOI,CCU,G8,HIST-000,Economy,2560,INR,2024-05-14,14,1,5,20,False,False,50,2024-04-30 00:00:00,False
VNS,CCU,G8,HIST-000,Economy,10500,INR,2025-07-28,14,0,7,31,False,False,50,2025-07-14 00:00:00,False
JAI,NAG,9I,HIST-000,Economy,8036,INR,2023-02-28,14,1,2,9,False,False,50,2023-02-14 00:00:00,False
RPR,CCU,UK,HIST-000,Economy,5833,INR,2025-11-04,14,1,11,45,False,False,50,2025-10-21 00:00:00,False
HYD,CCU,9I,HIST-000,Economy,7831,INR,2023-08-08,14,1,8,32,False,False,50,2023-07-25 00:00:00,False
HYD,MAA,G8,HIST-000,Economy,9288,INR,2024-08-27,14,1,8,35,False,False,50,2024-08-13 00:00:00,False
LKO,AMD,SG,HIST-000,Economy,11036,INR,2024-04-05,14,4,4,14,False,False,50,2024-03-22 00:00:00,False
VNS,NAG,S5,HIST-000,Economy,7784,INR,2023-05-05,14,4,5,18,False,False,50,2023-04-21 00:00:00,False
COK,PAT,S5,HIST-000,Economy,2511,INR,2023-10-12,14,3,10,41,False,False,50,2023-09-28 00:00:00,False
PAT,STV,G8,HIST-000,Economy,16909,INR,2024-02-19,14,0,2,8,False,False,50,2024-02-05 00:00:00,False
PAT,MAA,S5,HIST-000,Economy,11356,INR,2024-04-20,14,5,4,16,False,True,50,2024-04-06 00:00:00,False
BLR,STV,6E,HIST-000,Economy,11750,INR,2023-05-23,14,1,5,21,False,False,50,2023-05-09 00:00:00,False
HYD,BOM,2T,HIST-000,Economy,11702,INR,2023-11-07,14,1,11,45,False,False,50,2023-10-24 00:00:00,False
MAA,LKO,QP,HIST-000,Economy,6278,INR,2025-07-07,14,0,7,28,False,False,50,2025-06-23 00:00:00,False
NAG,LKO,2T,HIST-000,Economy,4829,INR,2024-03-18,14,0,3,12,False,False,50,2024-03-04 00:00:00,False
GOI,NAG,G8,HIST-000,Economy,5998,INR,2023-07-08,14,5,7,27,False,True,50,2023-06-24 00:00:00,False
BOM,GAU,SG,HIST-000,Economy,11565,INR,2023-08-24,14,3,8,34,False,False,50,2023-08-10 00:00:00,False
BBI,IDR,S5,HIST-000,Economy,7421,INR,2024-02-28,14,2,2,9,False,False,50,2024-02-14 00:00:00,False
PAT,PNQ,2T,HIST-000,Economy,8303,INR,2024-06-21,14,4,6,25,False,False,50,2024-06-07 00:00:00,False
JAI,IDR,2T,HIST-000,Economy,4217,INR,2023-02-09,14,3,2,6,False,False,50,2023-01-26 00:00:00,False
RPR,GOI,6E,HIST-000,Economy,13461,INR,2024-04-04,14,3,4,14,False,False,50,2024-03-21 00:00:00,False
GAU,PNQ,2T,HIST-000,Economy,13674,INR,2023-01-02,14,0,1,1,False,False,50,2022-12-19 00:00:00,False
COK,CCU,SG,HIST-000,Economy,9903,INR,2024-09-16,14,0,9,38,False,False,50,2024-09-02 00:00:00,False
LKO,AMD,QP,HIST-000,Economy,8030,INR,2023-05-10,14,2,5,19,False,False,50,2023-04-26 00:00:00,False
VNS,RPR,AI,HIST-000,Economy,15071,INR,2024-02-01,14,3,2,5,False,False,50,2024-01-18 00:00:00,False
MAA,BBI,SG,HIST-000,Economy,13326,INR,2024-03-23,14,5,3,12,False,True,50,2024-03-09 00:00:00,False
NAG,LKO,I5,HIST-000,Economy,6145,INR,2023-04-26,14,2,4,17,False,False,50,2023-04-12 00:00:00,False
RPR,HYD,SG,HIST-000,Economy,11464,INR,2024-12-27,14,4,12,52,False,False,50,2024-12-13 00:00:00,False
HYD,PNQ,S5,HIST-000,Economy,8038,INR,2024-01-10,14,2,1,2,False,False,50,2023-12-27 00:00:00,False
CCU,BLR,2T,HIST-000,Economy,5967,INR,2024-04-11,14,3,4,15,False,False,50,2024-03-28 00:00:00,False
STV,BBI,9I,HIST-000,Economy,11979,INR,2025-07-27,14,6,7,30,False,True,50,2025-07-13 00:00:00,False
NAG,VNS,9I,HIST-000,Economy,7800,INR,2023-07-01,14,5,7,26,False,True,50,2023-06-17 00:00:00,False
PNQ,MAA,UK,HIST-000,Economy,10842,INR,2024-11-01,14,4,11,44,False,False,50,2024-10-18 00:00:00,False
PNQ,LKO,UK,HIST-000,Economy,13529,INR,2025-04-22,14,1,4,17,False,False,50,2025-04-08 00:00:00,False
CCU,VNS,UK,HIST-000,Economy,4472,INR,2024-02-12,14,0,2,7,False,False,50,2024-01-29 00:00:00,False
MAA,GAU,AI,HIST-000,Economy,5620,INR,2023-02-14,14,1,2,7,False,False,50,2023-01-31 00:00:00,False
RPR,CCU,UK,HIST-000,Economy,5047,INR,2025-02-05,14,2,2,6,False,False,50,2025-01-22 00:00:00,False
IDR,COK,9I,HIST-000,Economy,5291,INR,2025-04-19,14,5,4,16,False,True,50,2025-04-05 00:00:00,False
CCU,HYD,9I,HIST-000,Economy,11055,INR,2024-06-23,14,6,6,25,False,True,50,2024-06-09 00:00:00,False
PAT,BBI,2T,HIST-000,Economy,8939,INR,2025-07-04,14,4,7,27,False,False,50,2025-06-20 00:00:00,False
NAG,HYD,QP,HIST-000,Economy,9456,INR,2024-05-26,14,6,5,21,False,True,50,2024-05-12 00:00:00,False
LKO,BOM,6E,HIST-000,Economy,6124,INR,2025-02-03,14,0,2,6,False,False,50,2025-01-20 00:00:00,False
VNS,LKO,G8,HIST-000,Economy,6471,INR,2023-02-14,14,1,2,7,False,False,50,2023-01-31 00:00:00,False
BLR,PNQ,G8,HIST-000,Economy,5031,INR,2024-05-20,14,0,5,21,False,False,50,2024-05-06 00:00:00,False
HYD,VNS,S5,HIST-000,Economy,3773,INR,2023-03-21,14,1,3,12,False,False,50,2023-03-07 00:00:00,False
PNQ,AMD,SG,HIST-000,Economy,11386,INR,2024-09-12,14,3,9,37,False,False,50,2024-08-29 00:00:00,False
MAA,PNQ,AI,HIST-000,Economy,12671,INR,2024-02-02,14,4,2,5,False,False,50,2024-01-19 00:00:00,False
MAA,AMD,9I,HIST-000,Economy,10722,INR,2024-02-08,14,3,2,6,False,False,50,2024-01-25 00:00:00,False
MAA,CCU,9I,HIST-000,Economy,9720,INR,2025-07-07,14,0,7,28,False,False,50,2025-06-23 00:00:00,False
DEL,IDR,2T,HIST-000,Economy,10264,INR,2023-11-06,14,0,11,45,False,False,50,2023-10-23 00:00:00,False
PNQ,RPR,SG,HIST-000,Economy,8619,INR,2025-07-25,14,4,7,30,False,False,50,2025-07-11 00:00:00,False
MAA,COK,I5,HIST-000,Economy,6603,INR,2024-08-17,14,5,8,33,False,True,50,2024-08-03 00:00:00,False
BLR,HYD,9I,HIST-000,Economy,5530,INR,2023-09-21,14,3,9,38,False,False,50,2023-09-07 00:00:00,False
CCU,DEL,QP,HIST-000,Economy,11635,INR,2023-03-15,14,2,3,11,False,False,50,2023-03-01 00:00:00,False
